id action timestamp
56 start 1241689620
56 end 1241689788
56 start 1241689800
56 end 1241691054
56 start 1241691060
56 end 1241706179
56 start 1241706180
56 end 1241706311
41 start 1241706420
56 start 1241706960
56 end 1241707424
41 end 1241707850
116 start 1241708280
41 start 1241708340
39 start 1241709060
39 end 1241710697
113 start 1241712120
9 start 1241713800
7 start 1241714160
8 start 1241714640
112 start 1241714820
39 start 1241714880
113 end 1241714965
53 start 1241715360
91 start 1241715540
82 start 1241717520
90 start 1241718000
11 start 1241718180
82 end 1241718404
13 start 1241718480
13 end 1241718551
13 start 1241718600
8 end 1241718849
111 start 1241720700
82 start 1241720760
91 end 1241722042
91 start 1241722080
53 end 1241722269
91 end 1241722314
91 start 1241722320
113 start 1241722440
39 end 1241725023
90 end 1241725631
90 start 1241725800
90 end 1241726622
91 end 1241730694
39 start 1241730960
41 end 1241731004
41 start 1241731320
116 end 1241731349
112 end 1241731361
41 end 1241731464
43 start 1241731560
7 end 1241731993
7 start 1241732100
113 end 1241732461
57 start 1241732520
43 end 1241733934
9 end 1241733988
8 start 1241734260
84 start 1241734320
13 end 1241734457
57 end 1241734875
41 start 1241735220
41 end 1241735356
84 end 1241735372
41 start 1241735400
41 end 1241735580
91 start 1241735820
11 end 1241736027
56 start 1241736300
82 end 1241736455
53 start 1241736600
111 end 1241736635
53 end 1241736745
91 end 1241737873
39 end 1241738512
8 end 1241739426
56 end 1241742079
8 start 1241744820
53 start 1241745180
8 end 1241745269
7 end 1241749235
53 end 1241749966
53 start 1241749980
53 end 1241750593
116 start 1241764020
116 end 1241764350
115 start 1241766060
113 start 1241766540
113 end 1241767275
113 start 1241767380
115 end 1241767538
115 start 1241767560
113 end 1241767958
113 start 1241767980
115 end 1241768947
116 start 1241769480
116 end 1241769480
116 start 1241769540
116 end 1241769727
116 start 1241769780
113 end 1241771109
115 start 1241771580
116 end 1241772435
116 start 1241772480
56 start 1241773020
56 end 1241773106
56 start 1241773140
116 end 1241773239
56 end 1241773307
112 start 1241773920
115 end 1241774241
56 start 1241774280
56 end 1241774294
43 start 1241774340
56 start 1241774700
43 end 1241776024
56 end 1241776125
56 start 1241776140
113 start 1241776200
113 end 1241776210
84 start 1241776440
113 start 1241776560
113 end 1241776574
115 start 1241776980
113 start 1241777100
112 end 1241777229
115 end 1241777356
116 start 1241777400
84 end 1241777631
84 start 1241777700
116 end 1241777947
82 start 1241778060
39 start 1241778240
39 end 1241778240
115 start 1241779020
84 end 1241779118
115 end 1241779589
39 start 1241779740
9 start 1241779800
113 end 1241780088
113 start 1241780400
115 start 1241780880
112 start 1241781960
43 start 1241782560
82 end 1241784066
39 end 1241784410
112 end 1241784786
11 start 1241785080
13 start 1241785140
80 start 1241785440
115 end 1241785570
56 end 1241786642
113 end 1241787973
11 end 1241788289
9 end 1241788316
115 start 1241788320
8 start 1241788380
9 start 1241788380
113 start 1241788560
80 end 1241788744
113 end 1241789091
113 start 1241789220
115 end 1241789504
115 start 1241789520
113 end 1241789563
113 start 1241789580
11 start 1241790900
80 start 1241791140
11 end 1241791676
56 start 1241791980
11 start 1241792040
43 end 1241792758
43 start 1241792760
115 end 1241792889
43 end 1241792949
56 end 1241793141
113 end 1241793397
113 start 1241793420
80 end 1241793520
7 start 1241793840
111 start 1241794980
41 start 1241795700
43 start 1241796180
43 end 1241796180
43 start 1241796240
84 start 1241796660
7 end 1241796794
41 end 1241796866
113 end 1241796953
113 start 1241796960
43 end 1241797320
113 end 1241797964
39 start 1241797980
116 start 1241798520
11 end 1241798536
116 end 1241798627
11 start 1241798640
11 end 1241798857
11 start 1241799060
8 end 1241799175
8 start 1241799180
112 start 1241799240
11 end 1241799311
11 start 1241799480
11 end 1241799555
9 end 1241799637
7 start 1241800320
55 start 1241800800
116 start 1241800980
116 end 1241801370
54 start 1241801760
111 end 1241801789
54 end 1241802068
8 end 1241802552
84 end 1241803275
84 start 1241803560
84 end 1241803949
84 start 1241803980
84 end 1241804165
13 end 1241804299
116 start 1241804340
13 start 1241804340
13 end 1241804371
9 start 1241805420
9 end 1241805574
114 start 1241806440
39 end 1241806550
39 start 1241806560
104 start 1241807160
13 start 1241807220
43 start 1241807220
13 end 1241807270
84 start 1241807400
84 end 1241807508
43 end 1241808331
43 start 1241808360
43 end 1241810209
43 start 1241810220
82 start 1241810220
43 end 1241811469
104 end 1241811755
104 start 1241811900
53 start 1241811900
105 start 1241812440
105 end 1241812748
7 end 1241813338
104 end 1241814262
104 start 1241814300
84 start 1241814540
43 start 1241814840
113 start 1241814960
7 start 1241815440
7 end 1241815511
7 start 1241815620
113 end 1241815671
113 start 1241815680
113 end 1241815782
43 end 1241815792
113 start 1241815800
113 end 1241815850
53 end 1241815871
53 start 1241815920
9 start 1241816220
9 end 1241816279
43 start 1241816340
116 end 1241816575
43 end 1241817031
84 end 1241817633
9 start 1241818260
9 end 1241818260
53 end 1241818513
53 start 1241818560
53 end 1241818655
53 start 1241818680
112 end 1241819144
104 end 1241819530
56 start 1241820180
104 start 1241821080
7 end 1241822372
104 end 1241822507
104 start 1241822520
58 start 1241822760
114 end 1241822851
58 end 1241822856
7 start 1241823000
104 end 1241823083
13 start 1241823840
13 end 1241823913
56 end 1241824211
53 end 1241824454
9 start 1241824860
9 end 1241824860
9 start 1241824920
39 end 1241824959
39 start 1241824980
55 end 1241824992
114 start 1241825580
54 start 1241826060
54 end 1241826060
54 start 1241826060
54 end 1241826726
82 end 1241827108
7 end 1241827309
9 end 1241827838
7 start 1241829420
39 end 1241830489
105 start 1241833320
113 start 1241833320
113 end 1241833330
113 start 1241833440
113 end 1241833478
7 end 1241836147
114 end 1241838132
105 end 1241838898
41 start 1241839080
41 end 1241845046
13 start 1241854560
84 start 1241855220
116 start 1241855400
90 start 1241856360
116 end 1241857360
58 start 1241857380
116 start 1241857380
56 start 1241860320
84 end 1241860618
11 start 1241860620
116 end 1241860620
116 start 1241860680
58 end 1241860806
11 end 1241861087
